Code,Area_Name,London_Area,Population_Estimate,Household_Estimate,Inland_Area,Population_Density,Mean_Age,Population_0_15,Working_Age_Population,Population_65,Domestic_Migration,International_Migration,Net_Immigration,Born_Abroad,Largest_Mig_Pop,Second_Largest_Mig_Pop,Third_Largest_Mig_Pop,BAME_Population,English_Not_First_Lang,Overseas_National,New_Migrant_Rate,Employment_Rate,Male_Employment,Female_Employment,Unemployment,Youth_Unemployment,Youth_NEET,Working_Age_Benefits,Working_Age_Disability,No_Qualifications,Degree,GAP,Male_GAP,Fem_GAP,Median_Income,Volunteer,Jobs,Employed_Public_Sector,Job_Density,Active_Businesses,Business_Survival,Crime_Per_Thousand,Fires_Per_Thousand,Ambulance_Per_Hundred,House_Price,Council_Tax,Net_New_Homes,House_Owned,House_Bought,House_Council,House_Landlord,Greenspace,Carbon_Emissions,Recycling,Cars,Cars_Per_Household,Cycle,Public_Trans_Access,High_Grades,Child_Care,Pupil_English_Not_First,Male_Life_Expectancy,Female_Life_Expectancy,Teenage_Conception,Life_Satisfaction,Worthwhileness,Happiness,Anxiety,Childhood_Obesity,Diabetes,Preventable_Deaths,Council_Party,Tories,Labour,Lib_Dems,Turnout
E09000011,Greenwich,Outer London,280100,113964.1208,4733.3867,59.17538916,35,21.9,67.7,10.4,-407,3366,2989,35.4,5.112018133,1.906449243,1.715529331,40.31558617,16.86397021,7002,37.63039237,72.1,77.9,66.3,8.1,5.357142857,5,9.464027559,20.2,10.6,42.2,32415,35596,29833,35350,17.41237408,94700,27.2606383,0.51,10060,72.7,79.37638253,2.544023979,11.8909704,340000,1296.18,1720,19.24222096,26.89444761,34.15243802,19.71089342,34.4,1014.297331,34.3,78185,0.773764164,7.683478628,3.443408851,58.8,78,44.14429986,79,82.5,28.1,7.2,7.55,7.2,3.4,27.72553117,6.13117383,193.1989914,Lab,15.68627451,84.31372549,0,37.2543293
E09000012,Hackney,Inner London,274300,115416.9548,1904.9025,143.9968712,33.1,20.7,72.1,7.2,-738,3359,3236,35.8,3.64721647,2.717342754,1.80452349,43.64483314,24.08772207,8927,46.01570111,69,72.8,65.3,5.9,4.830734119,3,10.67531276,17.9,10.8,49.2,32056,NA,31919,35140,29.6391755,132800,18.07909605,0.7,18510,76.8,99.64682433,2.660550459,11.45336391,485000,1294.42,830,11.07785248,19.75471509,45.43502588,23.27204243,23.2,812.600901,25.3,41800,0.411053201,25.21527176,4.916681945,60.6,53,44.15755057,78.5,83.3,24.7,7.03,7.31,6.99,3.76,27.00247729,5.774770246,210.5852045,Lab,7.01754386,87.71929825,5.263157895,39.39257246
E09000013,Hammersmith and Fulham,Inner London,185300,83552.37357,1639.7453,113.0053552,35.7,17.4,72.3,10.3,-3361,2926,1462,43.2,2.727227894,2.66969144,2.521192594,33.74078479,22.68738459,9256,71.39716602,77.5,80.9,74.2,4.7,2.219016975,2.5,8.400120332,12.9,4.9,67.5,38041,43845,34808,43820,30.48189036,149500,16.43730887,1.18,14095,73.4,113.2271875,1.99556541,12.20620843,730000,1003.81,370,19.08927038,21.83791239,25.93667961,33.13613763,19.1,809.3043127,20.7,43843,0.544025313,20.07095763,4.669039273,60.5,58,48.88988471,79.7,84.1,22.4,7.41,7.53,7.16,3.09,21.31814483,4.411301182,187.4393004,Lab,43.47826087,56.52173913,0,37.62675776
E09000014,Haringey,Inner London,278000,115607.8199,2959.8387,93.92403714,35.1,20,70.7,9.3,-4233,6675,2885,39.6,4.262021136,3.960364969,2.026078156,38.15390744,29.71489519,15144,78.47851998,71.3,77.6,64.8,5.7,5.643437366,3.5,9.675079028,16.3,8.8,49.2,31063,NA,29513,35420,29.84895126,91500,17.80626781,0.48,12675,74.4,90.21360285,2.091893911,12.29025028,432500,1484.01,240,17.95129459,24.74741988,33.35687127,23.94441427,25.5,772.5441357,37.3,61515,0.603354421,14.09179235,4.308367797,59.7,67,48.01432138,80.1,84.9,22.6,7.24,7.5,7.19,3.18,23.82397572,5.890875709,183.383346,Lab,0,84.21052632,15.78947368,38.10392411
E09000015,Harrow,Outer London,252300,92556.88605,5046.2744,49.99728116,38.3,20.5,64.5,15,-3644,2833,1933,49.6,9.010022756,4.896760592,4.347098588,61.76234109,28.48629892,10427,65.41364232,73.9,83.1,64.7,4.6,2.433897555,1.5,5.445386164,13.9,4.2,47.9,33202,NA,29335,38880,38.87760719,88600,14.45945946,0.55,15155,76.5,50.39610144,1.340623734,9.837181045,396150,1559.61,910,33.49711663,32.75273626,8.910988192,24.60672394,34.6,747.9206389,45.1,100326,1.190558694,8.285242882,2.870195996,66.4,32,57.60354094,82.7,86.1,11,7.33,7.42,7.31,2.71,20.18167457,8.45795437,134.185431,Lab,41.26984127,53.96825397,1.587301587,40.68432295
E09000016,Havering,Outer London,254300,104098.2197,11234.9666,22.63469123,40.3,19.3,62.3,18.4,1710,604,785,10.9,1.055085317,0.969936602,0.944644905,15.6984558,4.566008747,2642,17.03351257,76.5,81.3,71.8,5.3,3.267741706,4,7.014557786,18.2,10.5,26,33398,36539,27455,36670,16.93825795,91300,20.68095839,0.6,10115,75.3,62.92547918,2.532679739,12.91707516,287500,1543.64,1010,35.15473015,33.8821925,17.20984336,13.75323399,59.3,1031.884438,32.4,117634,1.210238788,7.801205688,2.504569188,59.8,42,38.91610718,80.2,83.9,22.8,7.39,7.65,7.21,3.28,21.7872969,5.908371484,159.2808784,No Overall Control,40.74074074,1.851851852,0,43.06714173
E09000017,Hillingdon,Outer London,301000,110827.482,11570.1137,26.01530182,36.4,21.3,65.6,13.1,-1616,4139,2458,32.4,5.700966649,1.761360318,1.578105835,45.66878825,18.76223811,6993,35.81121911,73.2,80.7,65.9,5.8,2.456921968,2.4,6.483197968,17.9,8.7,40.2,33508,36107,28778,37040,23.75572754,220900,11.40479687,1.03,13505,75,76.61973599,2.553045859,14.70807666,350000,1388.93,710,22.23819559,32.96306879,16.55296807,28.24576755,49.2,1713.261487,43.8,122486,1.222244397,12.26399818,2.36309365,62,49,29.59118662,80.4,83.9,20.5,7.37,7.68,7.28,3.47,21.09305761,6.363473481,170.1317055,Cons,64.61538462,35.38461538,0,36.06353042
E09000018,Hounslow,Outer London,274200,105886.8981,5597.7912,48.98360625,35.8,21.1,67.6,11.3,-3994,4425,2871,46.3,10.74512614,4.077461933,2.776454282,51.6384235,28.73016858,11336,62.41294066,74.2,84.7,63.2,4.3,2.868714141,3.2,6.067313039,17.6,6.5,45.5,31001,32235,27226,35330,26.92526823,165700,11.7440225,1.02,13910,76.2,79.15566277,2.116679132,12.13238594,355000,1355.77,480,25.45608903,27.0045309,19.18942113,28.34995894,39.6,1277.243343,34.5,94042,0.99093802,16.03435771,3.030522926,63.2,45,50.59212198,80,83.9,25,7.31,7.62,7.4,3.39,24.09126063,6.480169773,165.8326434,Lab,18.33333333,81.66666667,0,36.80620074
E09000019,Islington,Inner London,231200,105038.0625,1485.6656,155.6204842,34.8,15.9,75.3,8.8,-1480,6295,1819,36.6,2.754639175,1.832383263,1.524317768,32.0240371,19.85748051,9302,54.26343023,72.6,78.2,67,4.5,4.462809917,5.2,10.45367308,14.6,6.2,62.7,36592,38284,NA,39790,31.12863711,231500,14.51310861,1.45,22110,72.5,121.2239239,2.554446461,13.93012704,583000,1296.15,1030,15.3618014,23.54330188,35.27906076,25.46258253,12.4,877.7511235,32.8,38629,0.412897088,21.35681237,5.742924101,59.9,88,57.5508852,79,83.5,20.2,7.17,7.42,7.06,3.7,22.84644195,5.008148505,202.8098394,Lab,0,97.91666667,0,38.37985085
E09000020,Kensington and Chelsea,Inner London,159000,80199.87307,1212.4013,131.1446961,39.3,16.4,69.3,14.3,-1741,2234,1047,51.9,4.977024753,4.197316088,2.724252911,29.96203072,27.95542921,7237,66.24559476,68.2,76.3,60.4,4.2,3.364338017,3.6,7.213144766,14.3,5.2,65.2,NA,NA,NA,55620,31.07867349,143500,14.72929936,1.36,14350,74.5,120.9044051,2.02182285,12.73748395,1200000,1058.58,380,22.64168238,15.14901529,29.11821705,33.09108527,15.1,1153.799991,25.3,44536,0.567077519,16.91837048,5.793069678,68.7,37,45.82458308,83.3,86.4,14.2,7.61,7.8,7.56,3.1,18.5840708,4.180188879,136.3382339,Cons,74,24,2,29.81443068
